time,measurement_value
2025-02-28T02:37:00Z,559.0
2025-02-28T02:38:00Z,527.0
2025-02-28T02:39:00Z,621.0
2025-02-28T02:40:00Z,759.0
2025-02-28T02:41:00Z,739.0
2025-02-28T02:42:00Z,738.0
2025-02-28T02:43:00Z,726.0
2025-02-28T02:44:00Z,570.0
2025-02-28T02:45:00Z,431.0
2025-02-28T02:46:00Z,524.0
2025-02-28T02:47:00Z,633.0
2025-02-28T02:48:00Z,451.0
2025-02-28T02:49:00Z,568.0
2025-02-28T02:50:00Z,464.0
2025-02-28T02:51:00Z,433.0
2025-02-28T02:52:00Z,491.0
2025-02-28T02:53:00Z,588.0
2025-02-28T02:54:00Z,435.0
2025-02-28T02:55:00Z,478.0
2025-02-28T02:56:00Z,544.0
2025-02-28T02:57:00Z,536.0
2025-02-28T02:58:00Z,739.0
2025-02-28T02:59:00Z,393.0
2025-02-28T03:00:00Z,490.0
2025-02-28T03:01:00Z,628.0
2025-02-28T03:02:00Z,554.0
2025-02-28T03:03:00Z,637.0
2025-02-28T03:04:00Z,639.0
2025-02-28T03:05:00Z,691.0
2025-02-28T03:06:00Z,618.0
2025-02-28T03:07:00Z,539.0
2025-02-28T03:08:00Z,546.0
2025-02-28T03:09:00Z,502.0
2025-02-28T03:10:00Z,553.0
2025-02-28T03:11:00Z,695.0
2025-02-28T03:12:00Z,652.0
2025-02-28T03:13:00Z,508.0
2025-02-28T03:14:00Z,437.0
2025-02-28T03:15:00Z,460.0
2025-02-28T03:16:00Z,471.0
2025-02-28T03:17:00Z,432.0
2025-02-28T03:18:00Z,504.0
2025-02-28T03:19:00Z,575.0
2025-02-28T03:20:00Z,608.0
2025-02-28T03:21:00Z,527.0
2025-02-28T03:22:00Z,604.0
2025-02-28T03:23:00Z,519.0
2025-02-28T03:24:00Z,617.0
2025-02-28T03:25:00Z,313.0
2025-02-28T03:26:00Z,537.0
2025-02-28T03:27:00Z,672.0
2025-02-28T03:28:00Z,810.0
2025-02-28T03:29:00Z,744.0
2025-02-28T03:30:00Z,657.0
2025-02-28T03:31:00Z,503.0
2025-02-28T03:32:00Z,510.0
2025-02-28T03:33:00Z,636.0
2025-02-28T03:34:00Z,843.0
2025-02-28T03:35:00Z,715.0
2025-02-28T03:36:00Z,663.0
2025-02-28T03:37:00Z,440.0
2025-02-28T03:38:00Z,669.0
2025-02-28T03:39:00Z,751.0
2025-02-28T03:40:00Z,800.0
2025-02-28T03:41:00Z,811.0
2025-02-28T03:42:00Z,501.0
2025-02-28T03:43:00Z,503.0
2025-02-28T03:44:00Z,642.0
2025-02-28T03:45:00Z,674.0
2025-02-28T03:46:00Z,553.0
2025-02-28T03:47:00Z,620.0
2025-02-28T03:48:00Z,647.0
2025-02-28T03:49:00Z,464.0
2025-02-28T03:50:00Z,592.0
2025-02-28T03:51:00Z,447.0
2025-02-28T03:52:00Z,606.0
2025-02-28T03:53:00Z,744.0
2025-02-28T03:54:00Z,603.0
2025-02-28T03:55:00Z,610.0
2025-02-28T03:56:00Z,595.0
2025-02-28T03:57:00Z,431.0
2025-02-28T03:58:00Z,471.0
2025-02-28T03:59:00Z,433.0
2025-02-28T04:00:00Z,450.0
2025-02-28T04:01:00Z,426.0
2025-02-28T04:02:00Z,264.0
2025-02-28T04:03:00Z,349.0
2025-02-28T04:04:00Z,501.0
2025-02-28T04:05:00Z,554.0
2025-02-28T04:06:00Z,424.0
2025-02-28T04:07:00Z,402.0
2025-02-28T04:08:00Z,397.0
2025-02-28T04:09:00Z,390.0
2025-02-28T04:10:00Z,581.0
2025-02-28T04:11:00Z,718.0
2025-02-28T04:12:00Z,704.0
2025-02-28T04:13:00Z,580.0
2025-02-28T04:14:00Z,752.0
2025-02-28T04:15:00Z,788.0
2025-02-28T04:16:00Z,681.0
2025-02-28T04:17:00Z,720.0
2025-02-28T04:18:00Z,613.0
2025-02-28T04:19:00Z,861.0
2025-02-28T04:20:00Z,874.0
2025-02-28T04:21:00Z,578.0
2025-02-28T04:22:00Z,368.0
2025-02-28T04:23:00Z,262.0
2025-02-28T04:24:00Z,200.0
2025-02-28T04:25:00Z,259.0
2025-02-28T04:26:00Z,294.0
2025-02-28T04:27:00Z,309.0
2025-02-28T04:28:00Z,328.0
2025-02-28T04:29:00Z,370.0
2025-02-28T04:30:00Z,437.0
2025-02-28T04:31:00Z,360.0
2025-02-28T04:32:00Z,345.0
2025-02-28T04:33:00Z,475.0
2025-02-28T04:34:00Z,391.0
2025-02-28T04:35:00Z,407.0
2025-02-28T04:36:00Z,496.0
2025-02-28T04:37:00Z,319.0
2025-02-28T04:38:00Z,316.0
2025-02-28T04:39:00Z,309.0
2025-02-28T04:40:00Z,367.0
2025-02-28T04:41:00Z,426.0
2025-02-28T04:42:00Z,450.0
2025-02-28T04:43:00Z,446.0
2025-02-28T04:44:00Z,469.0
2025-02-28T04:45:00Z,393.0
2025-02-28T04:46:00Z,371.0
2025-02-28T04:47:00Z,388.0
2025-02-28T04:48:00Z,420.0
2025-02-28T04:49:00Z,266.0
2025-02-28T04:50:00Z,372.0
2025-02-28T04:51:00Z,372.0
2025-02-28T04:52:00Z,611.0
2025-02-28T04:53:00Z,550.0
2025-02-28T04:54:00Z,581.0
2025-02-28T04:55:00Z,483.0
2025-02-28T04:56:00Z,487.0
2025-02-28T04:57:00Z,292.0
2025-02-28T04:58:00Z,419.0
2025-02-28T04:59:00Z,452.0
2025-02-28T05:00:00Z,496.0
2025-02-28T05:01:00Z,543.0
2025-02-28T05:02:00Z,387.0
2025-02-28T05:03:00Z,508.0
2025-02-28T05:04:00Z,599.0
2025-02-28T05:05:00Z,501.0
2025-02-28T05:06:00Z,493.0
2025-02-28T05:07:00Z,440.0
2025-02-28T05:08:00Z,390.0
2025-02-28T05:09:00Z,413.0
2025-02-28T05:10:00Z,392.0
2025-02-28T05:11:00Z,370.0
2025-02-28T05:12:00Z,462.0
2025-02-28T05:13:00Z,430.0
2025-02-28T05:14:00Z,502.0
2025-02-28T05:15:00Z,596.0
2025-02-28T05:16:00Z,634.0
2025-02-28T05:17:00Z,584.0
2025-02-28T05:18:00Z,619.0
2025-02-28T05:19:00Z,649.0
2025-02-28T05:20:00Z,607.0
2025-02-28T05:21:00Z,545.0
2025-02-28T05:22:00Z,604.0
2025-02-28T05:23:00Z,634.0
2025-02-28T05:24:00Z,643.0
2025-02-28T05:25:00Z,550.0
2025-02-28T05:26:00Z,665.0
2025-02-28T05:27:00Z,908.0
2025-02-28T05:28:00Z,875.0
2025-02-28T05:29:00Z,763.0
2025-02-28T05:30:00Z,831.0
2025-02-28T05:31:00Z,768.0
2025-02-28T05:32:00Z,721.0
2025-02-28T05:33:00Z,835.0
2025-02-28T05:34:00Z,798.0
2025-02-28T05:35:00Z,775.0
2025-02-28T05:36:00Z,792.0
2025-02-28T05:37:00Z,580.0
2025-02-28T05:38:00Z,686.0
2025-02-28T05:39:00Z,588.0
2025-02-28T05:40:00Z,772.0
2025-02-28T05:41:00Z,736.0
2025-02-28T05:42:00Z,759.0
2025-02-28T05:43:00Z,777.0
2025-02-28T05:44:00Z,743.0
2025-02-28T05:45:00Z,831.0
2025-02-28T05:46:00Z,902.0
2025-02-28T05:47:00Z,817.0
2025-02-28T05:48:00Z,780.0
2025-02-28T05:49:00Z,836.0
2025-02-28T05:50:00Z,652.0
2025-02-28T05:51:00Z,856.0
2025-02-28T05:52:00Z,934.0
2025-02-28T05:53:00Z,1056.0
2025-02-28T05:54:00Z,856.0
2025-02-28T05:55:00Z,743.0
2025-02-28T05:56:00Z,689.0
2025-02-28T05:57:00Z,1034.0
2025-02-28T05:58:00Z,802.0
2025-02-28T05:59:00Z,822.0
2025-02-28T06:00:00Z,840.0
2025-02-28T06:01:00Z,844.0
2025-02-28T06:02:00Z,1017.0
2025-02-28T06:03:00Z,749.0
2025-02-28T06:04:00Z,660.0
2025-02-28T06:05:00Z,763.0
2025-02-28T06:06:00Z,623.0
2025-02-28T06:07:00Z,533.0
2025-02-28T06:08:00Z,639.0
2025-02-28T06:09:00Z,643.0
2025-02-28T06:10:00Z,758.0
2025-02-28T06:11:00Z,688.0
2025-02-28T06:12:00Z,558.0
2025-02-28T06:13:00Z,561.0
2025-02-28T06:14:00Z,674.0
2025-02-28T06:15:00Z,627.0
2025-02-28T06:16:00Z,702.0
2025-02-28T06:17:00Z,741.0
2025-02-28T06:18:00Z,829.0
2025-02-28T06:19:00Z,792.0
2025-02-28T06:20:00Z,661.0
2025-02-28T06:21:00Z,706.0
2025-02-28T06:22:00Z,796.0
2025-02-28T06:23:00Z,929.0
2025-02-28T06:24:00Z,923.0
